Variety,Freq,M%,Phase_Corr,Permittivity_real,Permittivity_imaginary,d(cm),Type
OKLAHOMA,6.0,16.21719,-411.07043,2.9029005,0.45161542,7.7,15.737999929794523
NEBRASKA SETTLER,8.0,17.246061,-570.2233,2.9591086,0.5151855,7.7,17.078772725687102
KANSAS,6.0,16.143705,-387.2374,3.5083537,0.69319046,6.5,16.21301534650456
OKLAHOMA,15.0,17.278265,-816.56976,2.7343118,0.445944,6.5,15.737999929794523
NEBRASKA SETTLER,6.0,17.47172,-437.14462,3.3024964,0.64703584,7.7,17.078772725687102
NEBRASKA OVERLAND,10.0,17.458439,-587.74194,2.918617,0.5360555,6.5,17.420924666307858
OKLAHOMA,14.0,11.2554865,-721.4503,2.4609473,0.23261665,7.7,15.737999929794523
OKLAHOMA,8.0,23.240185,-294.59262,2.9928386,0.5785309,4.4,15.737999929794523
KANSAS,7.0,20.828104,-301.3327,3.5985405,0.78588504,4.4,16.21301534650456
NEBRASKA OVERLAND,6.0,16.13728,-367.9522,2.8872876,0.48618045,7.7,17.420924666307858
OKLAHOMA,5.0,24.059324,-248.2726,3.805613,0.84886813,4.4,15.737999929794523
NEBRASKA OVERLAND,11.0,15.817907,-631.2194,2.708829,0.44629404,7.7,17.420924666307858
KANSAS,6.0,17.471586,-421.85397,2.8572483,0.48298305,7.7,16.21301534650456
OKLAHOMA,14.0,17.371313,-758.2202,2.7135046,0.47714028,6.5,15.737999929794523
OKLAHOMA,8.0,12.611976,-461.72406,2.6307597,0.29808947,7.7,15.737999929794523
KANSAS,7.0,17.190725,-454.81018,2.8358614,0.45669797,7.7,16.21301534650456
OKLAHOMA,6.0,10.868737,-367.57828,2.6527243,0.25015864,7.7,15.737999929794523
NEBRASKA OVERLAND,11.0,17.999762,-598.2765,2.7615728,0.5266946,6.5,17.420924666307858
KANSAS,12.0,11.541198,-776.801,2.591707,0.28486454,8.9,16.21301534650456
KANSAS,9.0,16.07659,-622.6707,2.9179678,0.4919074,7.7,16.21301534650456
KANSAS,16.0,13.079791,-894.015,2.568186,0.30706534,7.7,16.21301534650456
NEBRASKA SETTLER,11.0,19.486889,-736.15295,3.7236984,0.89234734,6.5,17.078772725687102
OKLAHOMA,11.0,11.166206,-768.45844,2.6037037,0.2704267,8.9,15.737999929794523
NEBRASKA OVERLAND,16.0,20.826784,-721.3612,2.6422324,0.5664406,4.4,17.420924666307858
NEBRASKA OVERLAND,16.0,13.897999,-903.2765,2.5734506,0.32734403,7.7,17.420924666307858
OKLAHOMA,13.0,11.311132,-735.66656,2.584925,0.26537243,7.7,15.737999929794523
KANSAS,12.0,11.023538,-799.173,2.541834,0.26345903,8.9,16.21301534650456
OKLAHOMA,9.0,15.305349,-538.9665,2.6300604,0.32892275,7.7,15.737999929794523
OKLAHOMA,6.0,24.215775,-297.39795,3.8540883,0.9039829,4.4,15.737999929794523
KANSAS,11.0,15.651804,-649.91144,2.716553,0.40892857,7.7,16.21301534650456
OKLAHOMA,17.0,17.899462,-970.0489,2.5918171,0.36480883,7.7,15.737999929794523
NEBRASKA OVERLAND,17.0,15.261548,-977.28687,2.6640666,0.42274418,7.7,17.420924666307858
NEBRASKA SETTLER,11.0,12.108411,-851.94135,2.9472945,0.3787875,8.9,17.078772725687102
OKLAHOMA,11.0,23.99842,-429.188,3.1673083,0.7290112,4.4,15.737999929794523
NEBRASKA OVERLAND,12.0,21.563639,-458.99722,2.886113,0.67346615,4.4,17.420924666307858
OKLAHOMA,7.0,17.934357,-426.20343,2.9881597,0.47609746,6.5,15.737999929794523
NEBRASKA OVERLAND,6.0,17.818035,-480.0083,3.2952926,0.6607426,7.7,17.420924666307858
NEBRASKA SETTLER,7.0,16.90242,-519.3221,3.240703,0.5876836,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,16.319342,-624.5424,3.029963,0.5307766,6.5,17.078772725687102
KANSAS,10.0,19.797356,-358.85352,3.0320456,0.5957063,4.4,16.21301534650456
KANSAS,7.0,16.444592,-434.48285,2.553461,0.3370477,7.7,16.21301534650456
OKLAHOMA,16.0,12.331259,-874.0524,2.5616353,0.28312966,7.7,15.737999929794523
KANSAS,17.0,14.915428,-972.1915,2.5730963,0.3727782,7.7,16.21301534650456
NEBRASKA SETTLER,16.0,17.010244,-923.1614,2.792908,0.5145233,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,19.169222,-562.7028,3.6976173,0.85568386,6.5,17.078772725687102
KANSAS,16.0,18.206913,-657.6721,2.6394098,0.49717903,4.4,16.21301534650456
OKLAHOMA,13.0,23.615164,-481.0082,2.9233685,0.6819502,4.4,15.737999929794523
OKLAHOMA,7.0,12.5755,-430.23285,2.7272666,0.30941063,7.7,15.737999929794523
KANSAS,9.0,16.803005,-513.4819,2.9042184,0.51238054,6.5,16.21301534650456
NEBRASKA OVERLAND,6.0,13.710583,-390.62177,2.8232124,0.39588714,7.7,17.420924666307858
OKLAHOMA,14.0,23.817022,-532.7844,2.9297667,0.7114862,4.4,15.737999929794523
NEBRASKA SETTLER,9.0,21.358038,-462.6233,3.6096911,0.8538155,4.4,17.078772725687102
NEBRASKA OVERLAND,7.0,18.23349,-510.1301,3.2014465,0.64133954,7.7,17.420924666307858
OKLAHOMA,16.0,20.399954,-798.8335,2.6861079,0.5205627,7.7,15.737999929794523
OKLAHOMA,6.0,15.402962,-390.87646,2.7798717,0.36473644,7.7,15.737999929794523
NEBRASKA SETTLER,6.0,16.09494,-406.97455,3.1565397,0.54656327,7.7,17.078772725687102
OKLAHOMA,13.0,10.90927,-771.5342,2.6072536,0.2578534,7.7,15.737999929794523
NEBRASKA SETTLER,15.0,15.71285,-924.6051,2.785143,0.43730342,7.7,17.078772725687102
OKLAHOMA,11.0,23.464605,-435.77505,3.102916,0.68001556,4.4,15.737999929794523
OKLAHOMA,6.0,14.205647,-339.72946,2.6994681,0.3121455,7.7,15.737999929794523
NEBRASKA OVERLAND,6.0,18.428776,-513.22,3.3723366,0.6905084,7.7,17.420924666307858
NEBRASKA SETTLER,10.0,12.095318,-767.24084,2.9289799,0.39255115,8.9,17.078772725687102
NEBRASKA OVERLAND,13.0,14.415521,-774.092,2.6538007,0.35116348,7.7,17.420924666307858
NEBRASKA SETTLER,13.0,11.179253,-957.5378,3.1071413,0.40152645,8.9,17.078772725687102
OKLAHOMA,7.0,13.148974,-432.5582,2.786235,0.33118656,7.7,15.737999929794523
NEBRASKA SETTLER,8.0,20.572956,-340.64554,3.5477126,0.79305434,4.4,17.078772725687102
OKLAHOMA,7.0,21.921688,-299.81668,3.5068903,0.7416441,4.4,15.737999929794523
KANSAS,5.0,16.013584,-309.80637,2.8517551,0.44861782,7.7,16.21301534650456
NEBRASKA SETTLER,6.0,16.72538,-486.0722,3.2729044,0.5948727,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,11.80393,-647.74506,2.8286588,0.36634398,8.9,17.078772725687102
KANSAS,10.0,15.011674,-601.39014,2.8145225,0.42633036,6.5,16.21301534650456
KANSAS,10.0,16.015415,-625.3278,2.702677,0.39442575,7.7,16.21301534650456
OKLAHOMA,17.0,14.336421,-976.86346,2.5811172,0.32070604,7.7,15.737999929794523
NEBRASKA SETTLER,6.0,16.495298,-494.7436,3.3693826,0.61839044,7.7,17.078772725687102
KANSAS,14.0,14.243739,-800.4184,2.5896945,0.3495413,7.7,16.21301534650456
KANSAS,16.0,18.057375,-688.03064,2.6277337,0.4759544,4.4,16.21301534650456
OKLAHOMA,16.0,13.78184,-939.73895,2.5881283,0.3056757,7.7,15.737999929794523
OKLAHOMA,9.0,15.671467,-541.98193,2.6129408,0.34560063,7.7,15.737999929794523
NEBRASKA OVERLAND,5.0,17.012295,-330.19656,2.7915456,0.4827514,7.7,17.420924666307858
NEBRASKA SETTLER,8.0,21.162003,-310.22073,3.2024794,0.67402357,4.4,17.078772725687102
NEBRASKA SETTLER,16.0,19.794033,-975.58984,3.5339677,0.8665154,7.7,17.078772725687102
NEBRASKA SETTLER,17.0,10.406431,-1098.6189,2.4434078,0.23579268,8.9,17.078772725687102
NEBRASKA OVERLAND,8.0,11.705845,-542.27954,2.5939457,0.2986446,8.9,17.420924666307858
OKLAHOMA,12.0,10.937102,-692.6944,2.5883954,0.25074834,7.7,15.737999929794523
OKLAHOMA,14.0,12.084503,-807.1411,2.551505,0.27137673,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,18.639105,-581.7007,3.3738313,0.7017019,7.7,17.420924666307858
OKLAHOMA,6.0,22.538675,-268.35672,3.6046393,0.7480013,4.4,15.737999929794523
KANSAS,7.0,20.315151,-319.32468,3.8259284,0.88093954,4.4,16.21301534650456
OKLAHOMA,16.0,10.291872,-1025.949,2.4513447,0.22496437,8.9,15.737999929794523
OKLAHOMA,9.0,18.079758,-562.11194,3.0930247,0.6063525,6.5,15.737999929794523
OKLAHOMA,5.0,23.35034,-251.11774,3.8309302,0.829539,4.4,15.737999929794523
NEBRASKA OVERLAND,15.0,17.261833,-966.07526,2.9216468,0.5747308,7.7,17.420924666307858
OKLAHOMA,5.0,24.287554,-245.54753,3.498171,0.65893126,4.4,15.737999929794523
NEBRASKA SETTLER,7.0,17.314997,-485.76047,3.2533395,0.6092498,7.7,17.078772725687102
OKLAHOMA,7.0,22.317635,-316.41498,3.803275,0.86899054,4.4,15.737999929794523
NEBRASKA SETTLER,8.0,17.68733,-559.4557,3.1859233,0.6213291,6.5,17.078772725687102
OKLAHOMA,7.0,12.647187,-447.29144,2.5818765,0.27838913,7.7,15.737999929794523
KANSAS,9.0,14.85658,-587.94867,2.8697362,0.45074102,7.7,16.21301534650456
KANSAS,14.0,17.718645,-743.57275,2.8673325,0.5753788,6.5,16.21301534650456
NEBRASKA SETTLER,6.0,21.16476,-250.77795,3.4166515,0.6594289,4.4,17.078772725687102
OKLAHOMA,15.0,11.593479,-820.3981,2.5612082,0.2690865,7.7,15.737999929794523
OKLAHOMA,6.0,24.100704,-266.62912,3.1459944,0.5811014,4.4,15.737999929794523
NEBRASKA SETTLER,11.0,17.452873,-748.65625,2.9714887,0.5355987,7.7,17.078772725687102
NEBRASKA OVERLAND,5.0,16.683256,-295.9759,3.5060344,0.70449394,6.5,17.420924666307858
KANSAS,6.0,13.446897,-367.31952,2.8477268,0.36906952,7.7,16.21301534650456
OKLAHOMA,7.0,11.944729,-467.01578,2.7181416,0.2966006,7.7,15.737999929794523
NEBRASKA OVERLAND,17.0,18.048609,-914.5695,2.7726817,0.5557253,7.7,17.420924666307858
KANSAS,13.0,20.485352,-565.6358,2.9650466,0.67842275,4.4,16.21301534650456
NEBRASKA SETTLER,6.0,21.114475,-304.34958,3.8152177,0.88853246,4.4,17.078772725687102
KANSAS,16.0,13.930777,-924.8912,2.6229813,0.36007065,7.7,16.21301534650456
NEBRASKA OVERLAND,9.0,18.696928,-572.12317,3.206654,0.7045647,6.5,17.420924666307858
KANSAS,5.0,15.787469,-333.75488,3.0863106,0.5113691,7.7,16.21301534650456
KANSAS,13.0,12.132857,-794.1476,2.5154696,0.27879444,8.9,16.21301534650456
OKLAHOMA,6.0,23.287022,-284.3331,3.8193688,0.8532528,4.4,15.737999929794523
NEBRASKA OVERLAND,7.0,17.64056,-525.57794,3.2020633,0.6372372,7.7,17.420924666307858
KANSAS,6.0,19.870213,-247.17818,3.1279593,0.479998,4.4,16.21301534650456
NEBRASKA OVERLAND,12.0,13.918983,-728.32007,2.595949,0.3386099,8.9,17.420924666307858
NEBRASKA OVERLAND,11.0,18.50676,-613.73175,2.979759,0.6029016,6.5,17.420924666307858
OKLAHOMA,10.0,24.037281,-407.60965,3.18247,0.7530385,4.4,15.737999929794523
OKLAHOMA,7.0,13.668142,-448.90714,2.6424053,0.29110736,7.7,15.737999929794523
OKLAHOMA,9.0,16.300865,-560.01636,3.0147092,0.52040124,6.5,15.737999929794523
KANSAS,11.0,15.8927,-658.0128,2.7219222,0.41368955,7.7,16.21301534650456
NEBRASKA SETTLER,7.0,21.191252,-332.115,3.7752528,0.8893575,4.4,17.078772725687102
KANSAS,10.0,20.378048,-410.71255,3.2950127,0.7445479,4.4,16.21301534650456
KANSAS,8.0,17.528372,-432.60117,3.3404226,0.65582716,6.5,16.21301534650456
NEBRASKA SETTLER,12.0,11.272506,-828.0835,2.6200163,0.28475466,8.9,17.078772725687102
NEBRASKA SETTLER,7.0,18.32869,-553.68256,3.1484773,0.6175045,7.7,17.078772725687102
OKLAHOMA,16.0,11.450787,-913.0734,2.5118062,0.25142753,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,18.558046,-494.77237,3.0344489,0.61247855,7.7,17.420924666307858
NEBRASKA SETTLER,15.0,16.766155,-971.5322,3.0219815,0.5716444,7.7,17.078772725687102
KANSAS,7.0,15.256022,-453.6124,2.9188173,0.4534133,7.7,16.21301534650456
NEBRASKA SETTLER,10.0,13.184096,-788.3773,3.053062,0.46880025,8.9,17.078772725687102
NEBRASKA OVERLAND,6.0,12.94931,-385.0938,2.6751037,0.31131706,8.9,17.420924666307858
NEBRASKA SETTLER,10.0,15.894787,-642.4782,3.0008953,0.52104795,7.7,17.078772725687102
NEBRASKA SETTLER,7.0,12.225281,-474.12723,2.647019,0.30557677,8.9,17.078772725687102
KANSAS,6.0,16.09106,-358.95734,2.790733,0.42751133,7.7,16.21301534650456
OKLAHOMA,6.0,11.307182,-431.2793,2.6980968,0.2729765,8.9,15.737999929794523
NEBRASKA SETTLER,13.0,19.254988,-864.1599,3.5822074,0.83540326,6.5,17.078772725687102
OKLAHOMA,13.0,10.552939,-882.76807,2.531676,0.24275972,8.9,15.737999929794523
KANSAS,6.0,20.15592,-250.54272,3.4777544,0.6356132,4.4,16.21301534650456
NEBRASKA SETTLER,9.0,18.858507,-620.9966,3.485959,0.78413165,6.5,17.078772725687102
NEBRASKA OVERLAND,7.0,15.980963,-466.05338,2.853479,0.4472272,7.7,17.420924666307858
NEBRASKA OVERLAND,7.0,16.143045,-457.46213,2.9503603,0.5215299,7.7,17.420924666307858
NEBRASKA SETTLER,5.0,16.177816,-367.3884,3.1609406,0.5313368,7.7,17.078772725687102
NEBRASKA OVERLAND,7.0,16.024616,-496.08237,2.9778638,0.50540966,7.7,17.420924666307858
KANSAS,7.0,20.709995,-267.75766,2.9044569,0.4803431,4.4,16.21301534650456
NEBRASKA OVERLAND,11.0,16.377287,-705.5211,2.754175,0.45274955,7.7,17.420924666307858
KANSAS,11.0,19.927395,-366.61902,2.9329026,0.6198344,4.4,16.21301534650456
NEBRASKA OVERLAND,6.0,15.033715,-386.6439,2.6471217,0.3754056,7.7,17.420924666307858
NEBRASKA SETTLER,9.0,15.629581,-596.8906,3.0058935,0.5073281,7.7,17.078772725687102
NEBRASKA OVERLAND,11.0,18.313343,-563.77966,2.8053322,0.55127305,6.5,17.420924666307858
NEBRASKA OVERLAND,9.0,21.262447,-345.98297,3.105787,0.6750387,4.4,17.420924666307858
KANSAS,10.0,20.683393,-373.85724,2.9813578,0.6093724,4.4,16.21301534650456
NEBRASKA OVERLAND,13.0,19.206732,-801.6097,3.240556,0.7430643,6.5,17.420924666307858
NEBRASKA SETTLER,5.0,15.70733,-356.9624,3.0547178,0.49629492,7.7,17.078772725687102
OKLAHOMA,11.0,11.906228,-658.65753,2.654431,0.28415838,7.7,15.737999929794523
OKLAHOMA,6.0,12.52525,-400.8446,2.7270145,0.30058572,7.7,15.737999929794523
KANSAS,16.0,16.219501,-908.1323,2.6400063,0.42899403,7.7,16.21301534650456
KANSAS,6.0,13.401684,-429.93185,2.823778,0.37257475,7.7,16.21301534650456
KANSAS,5.0,15.664004,-303.80884,2.778043,0.42224497,7.7,16.21301534650456
KANSAS,12.0,13.992267,-717.6755,2.6680734,0.37063062,7.7,16.21301534650456
NEBRASKA OVERLAND,10.0,12.413287,-675.99396,2.6050577,0.30845323,8.9,17.420924666307858
KANSAS,7.0,14.059675,-419.57135,2.7105894,0.35782906,7.7,16.21301534650456
OKLAHOMA,10.0,12.316884,-577.32556,2.6314287,0.28766787,7.7,15.737999929794523
NEBRASKA OVERLAND,16.0,14.839044,-955.2139,2.6833875,0.38843033,7.7,17.420924666307858
NEBRASKA SETTLER,10.0,11.683158,-762.93854,2.8318577,0.3467236,8.9,17.078772725687102
OKLAHOMA,13.0,11.825142,-716.00385,2.5281453,0.24891248,7.7,15.737999929794523
KANSAS,6.0,19.729738,-286.48273,3.756211,0.82669485,4.4,16.21301534650456
NEBRASKA OVERLAND,7.0,17.953842,-493.54333,3.2921724,0.6577578,7.7,17.420924666307858
KANSAS,15.0,15.106587,-835.8985,2.697858,0.42255822,7.7,16.21301534650456
OKLAHOMA,15.0,12.077002,-834.88666,2.5238183,0.2550313,7.7,15.737999929794523
NEBRASKA OVERLAND,9.0,17.591639,-646.2341,3.0054007,0.55779153,7.7,17.420924666307858
OKLAHOMA,9.0,23.17202,-366.7219,3.283163,0.7129101,4.4,15.737999929794523
OKLAHOMA,14.0,10.467438,-924.1429,2.503761,0.2381947,8.9,15.737999929794523
NEBRASKA OVERLAND,6.0,17.350225,-383.18982,3.750373,0.83487606,6.5,17.420924666307858
NEBRASKA SETTLER,17.0,16.788391,-923.76587,2.6231797,0.42766172,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,16.835302,-604.2093,2.8928802,0.47589704,7.7,17.078772725687102
OKLAHOMA,14.0,19.983267,-690.13153,2.8888779,0.6314701,6.5,15.737999929794523
NEBRASKA OVERLAND,13.0,15.184385,-827.14417,2.7947807,0.42840645,7.7,17.420924666307858
NEBRASKA SETTLER,10.0,14.50337,-660.5599,2.9871888,0.46470985,7.7,17.078772725687102
KANSAS,13.0,14.445629,-758.2386,2.5945702,0.31634995,7.7,16.21301534650456
KANSAS,12.0,19.954308,-434.03558,2.9438784,0.6252987,4.4,16.21301534650456
KANSAS,12.0,19.541096,-561.36053,3.099067,0.67902744,4.4,16.21301534650456
NEBRASKA SETTLER,6.0,20.965553,-285.05515,3.9163077,0.9211623,4.4,17.078772725687102
NEBRASKA SETTLER,16.0,17.466515,-999.13983,2.9778833,0.61927867,7.7,17.078772725687102
NEBRASKA SETTLER,12.0,15.260841,-772.5291,2.8518066,0.45709115,7.7,17.078772725687102
NEBRASKA SETTLER,8.0,15.939726,-609.7075,3.0875447,0.54672056,8.9,17.078772725687102
NEBRASKA SETTLER,9.0,21.27188,-428.9168,3.6982193,0.88407594,4.4,17.078772725687102
KANSAS,6.0,16.294638,-397.63675,2.864706,0.4497525,7.7,16.21301534650456
NEBRASKA SETTLER,9.0,21.330093,-423.40378,3.5675423,0.8648882,4.4,17.078772725687102
KANSAS,6.0,17.185316,-413.83862,3.0254412,0.5504211,7.7,16.21301534650456
KANSAS,7.0,15.540871,-500.47137,2.9062757,0.4537921,7.7,16.21301534650456
OKLAHOMA,12.0,17.865583,-646.52686,2.7328544,0.45571002,6.5,15.737999929794523
OKLAHOMA,6.0,11.561287,-366.63174,2.6894126,0.26932034,7.7,15.737999929794523
NEBRASKA OVERLAND,12.0,18.746,-685.0489,2.9457285,0.6307836,6.5,17.420924666307858
NEBRASKA SETTLER,12.0,21.243279,-432.8759,3.0369794,0.70748496,4.4,17.078772725687102
NEBRASKA OVERLAND,11.0,19.253237,-590.59863,3.1130202,0.68480515,6.5,17.420924666307858
NEBRASKA OVERLAND,12.0,11.625439,-815.03174,2.728275,0.3343711,8.9,17.420924666307858
OKLAHOMA,6.0,14.402981,-383.8877,2.82853,0.36038107,7.7,15.737999929794523
NEBRASKA SETTLER,7.0,21.013033,-338.43802,3.8377783,0.907882,4.4,17.078772725687102
NEBRASKA SETTLER,9.0,15.678524,-591.8902,2.9142292,0.47837463,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,12.738736,-670.7636,2.940743,0.41584447,8.9,17.078772725687102
OKLAHOMA,13.0,11.830008,-744.6892,2.6031651,0.2776094,7.7,15.737999929794523
KANSAS,8.0,17.921444,-465.19205,3.0979555,0.5970249,6.5,16.21301534650456
NEBRASKA SETTLER,5.0,15.917574,-327.4724,3.0714386,0.5061234,7.7,17.078772725687102
OKLAHOMA,7.0,16.239885,-455.5114,2.9243257,0.46110842,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,18.263744,-442.46066,3.1610506,0.6221915,6.5,17.420924666307858
OKLAHOMA,7.0,13.35321,-423.5692,2.713538,0.30709934,7.7,15.737999929794523
OKLAHOMA,13.0,22.133743,-700.34454,3.049925,0.6556109,6.5,15.737999929794523
KANSAS,14.0,14.990605,-865.11066,2.7225459,0.3833201,7.7,16.21301534650456
NEBRASKA OVERLAND,8.0,12.370685,-498.7556,2.5410519,0.29110667,8.9,17.420924666307858
NEBRASKA SETTLER,6.0,16.36492,-468.0217,3.2488973,0.59193707,7.7,17.078772725687102
OKLAHOMA,7.0,16.105593,-433.05145,2.7433958,0.40458357,7.7,15.737999929794523
KANSAS,14.0,14.423061,-820.4822,2.6592178,0.36143586,7.7,16.21301534650456
KANSAS,8.0,16.389189,-488.63736,2.7494934,0.4318039,7.7,16.21301534650456
OKLAHOMA,13.0,12.325247,-763.2254,2.5697408,0.27110308,7.7,15.737999929794523
KANSAS,9.0,15.3966465,-572.5313,2.9176757,0.47496414,7.7,16.21301534650456
NEBRASKA OVERLAND,6.0,16.394575,-423.20312,2.9130213,0.47341034,7.7,17.420924666307858
NEBRASKA SETTLER,6.0,15.747324,-384.14987,3.0725007,0.51601875,7.7,17.078772725687102
NEBRASKA SETTLER,6.0,16.226183,-447.37244,3.295685,0.59079254,7.7,17.078772725687102
OKLAHOMA,11.0,12.19936,-629.38574,2.519928,0.25133947,7.7,15.737999929794523
NEBRASKA SETTLER,7.0,17.332886,-537.33954,3.3773105,0.66555154,7.7,17.078772725687102
NEBRASKA OVERLAND,7.0,18.391594,-429.02277,3.4308429,0.7604547,6.5,17.420924666307858
OKLAHOMA,8.0,12.961232,-447.04517,2.4926655,0.24563535,7.7,15.737999929794523
OKLAHOMA,12.0,11.363785,-650.03937,2.4779222,0.24307235,7.7,15.737999929794523
OKLAHOMA,13.0,13.17383,-759.5203,2.5922813,0.31265542,7.7,15.737999929794523
NEBRASKA OVERLAND,8.0,21.39436,-310.58017,3.281702,0.7188089,4.4,17.420924666307858
OKLAHOMA,8.0,21.926382,-294.58255,2.9870784,0.5649816,4.4,15.737999929794523
NEBRASKA SETTLER,6.0,14.376224,-414.1921,2.9455662,0.42687136,7.7,17.078772725687102
NEBRASKA OVERLAND,11.0,17.223698,-707.98376,2.8740225,0.5066135,7.7,17.420924666307858
NEBRASKA OVERLAND,7.0,16.955349,-527.0403,3.0532482,0.5623759,7.7,17.420924666307858
NEBRASKA SETTLER,7.0,12.748709,-584.6846,2.998615,0.42572725,8.9,17.078772725687102
KANSAS,16.0,15.086879,-892.2281,2.6316204,0.39862508,7.7,16.21301534650456
OKLAHOMA,6.0,14.152079,-430.03107,2.9185107,0.411047,7.7,15.737999929794523
OKLAHOMA,8.0,24.249668,-340.84882,3.2377238,0.72062945,4.4,15.737999929794523
NEBRASKA OVERLAND,7.0,15.647045,-476.23624,2.9161136,0.4854103,7.7,17.420924666307858
OKLAHOMA,7.0,21.903492,-437.56308,3.4689245,0.69188756,6.5,15.737999929794523
NEBRASKA SETTLER,7.0,16.969717,-511.03625,3.1858194,0.5786876,7.7,17.078772725687102
OKLAHOMA,14.0,18.974606,-686.43695,2.663115,0.5039371,6.5,15.737999929794523
KANSAS,14.0,11.332156,-898.3921,2.5331926,0.26781583,8.9,16.21301534650456
OKLAHOMA,15.0,15.379639,-809.9599,2.6609085,0.39898765,6.5,15.737999929794523
KANSAS,15.0,19.00878,-580.705,2.739758,0.5670703,4.4,16.21301534650456
NEBRASKA OVERLAND,7.0,15.772893,-482.13727,2.957453,0.5118823,7.7,17.420924666307858
OKLAHOMA,11.0,12.869658,-663.80664,2.5738697,0.28062382,7.7,15.737999929794523
NEBRASKA OVERLAND,15.0,13.1168165,-862.3012,2.6022289,0.32094938,7.7,17.420924666307858
NEBRASKA OVERLAND,9.0,21.472927,-385.4007,3.324749,0.7509472,4.4,17.420924666307858
KANSAS,10.0,11.675937,-689.5547,2.6218345,0.29529184,8.9,16.21301534650456
NEBRASKA OVERLAND,7.0,16.08684,-534.49615,3.1203194,0.57368845,7.7,17.420924666307858
KANSAS,16.0,17.93682,-769.0435,2.685393,0.5261957,7.7,16.21301534650456
KANSAS,17.0,15.486616,-939.58466,2.6863859,0.44026202,7.7,16.21301534650456
NEBRASKA SETTLER,5.0,20.809792,-247.00108,3.8708885,0.86520636,4.4,17.078772725687102
KANSAS,17.0,16.871828,-878.6476,2.7505405,0.51165926,7.7,16.21301534650456
NEBRASKA OVERLAND,10.0,12.822792,-683.90936,2.6550674,0.3386452,8.9,17.420924666307858
NEBRASKA OVERLAND,6.0,17.490997,-371.7379,3.6547372,0.7941264,6.5,17.420924666307858
NEBRASKA OVERLAND,6.0,17.684513,-429.80865,3.1520925,0.614281,7.7,17.420924666307858
KANSAS,8.0,18.070597,-432.52765,3.4399836,0.7205188,6.5,16.21301534650456
NEBRASKA SETTLER,7.0,12.388925,-523.3016,2.8157675,0.3460469,8.9,17.078772725687102
NEBRASKA SETTLER,10.0,21.23202,-390.29703,3.1728022,0.72955686,4.4,17.078772725687102
NEBRASKA SETTLER,15.0,14.454312,-882.9261,2.6749396,0.38293543,7.7,17.078772725687102
NEBRASKA SETTLER,5.0,16.50788,-367.3438,3.142222,0.5439916,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,21.6162,-380.54233,3.4779563,0.8454463,4.4,17.078772725687102
NEBRASKA SETTLER,10.0,11.93486,-717.9343,2.7714753,0.34488112,8.9,17.078772725687102
NEBRASKA OVERLAND,13.0,22.500942,-471.2327,2.8338494,0.6489572,4.4,17.420924666307858
KANSAS,16.0,14.2290745,-882.7865,2.5524487,0.33776817,7.7,16.21301534650456
NEBRASKA OVERLAND,17.0,18.491905,-880.1445,2.7175744,0.5489784,7.7,17.420924666307858
NEBRASKA SETTLER,13.0,20.764885,-547.8706,3.061163,0.7209467,4.4,17.078772725687102
NEBRASKA OVERLAND,7.0,18.062494,-518.1331,3.1563737,0.6278564,7.7,17.420924666307858
NEBRASKA SETTLER,5.0,16.132782,-386.32693,3.2962995,0.5820728,7.7,17.078772725687102
NEBRASKA OVERLAND,6.0,22.681438,-251.99022,3.0887692,0.57984847,4.4,17.420924666307858
KANSAS,5.0,13.728142,-303.27252,2.7460294,0.37291378,7.7,16.21301534650456
KANSAS,17.0,16.099222,-980.68274,2.7484639,0.4740252,7.7,16.21301534650456
NEBRASKA SETTLER,16.0,18.875011,-906.1344,2.9493499,0.6618348,7.7,17.078772725687102
NEBRASKA SETTLER,13.0,16.61891,-877.71893,3.1046789,0.5724129,7.7,17.078772725687102
NEBRASKA OVERLAND,8.0,21.23933,-350.18924,3.4039116,0.7854388,4.4,17.420924666307858
NEBRASKA SETTLER,9.0,21.561686,-370.3817,3.2170386,0.74138373,4.4,17.078772725687102
NEBRASKA OVERLAND,8.0,15.591478,-551.2611,2.8563745,0.4618632,7.7,17.420924666307858
OKLAHOMA,15.0,10.377084,-1007.28687,2.510393,0.2318054,8.9,15.737999929794523
OKLAHOMA,5.0,11.785041,-314.72568,2.6423116,0.2668104,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,17.871208,-516.5698,3.2757201,0.65089524,7.7,17.420924666307858
NEBRASKA SETTLER,12.0,20.756102,-432.6716,2.8916352,0.6315543,4.4,17.078772725687102
KANSAS,8.0,16.605122,-528.3918,2.9820142,0.51760256,7.7,16.21301534650456
NEBRASKA OVERLAND,11.0,21.107874,-380.59656,2.7783341,0.54545444,4.4,17.420924666307858
OKLAHOMA,8.0,11.304375,-506.00467,2.5714653,0.2552631,7.7,15.737999929794523
